makeid,makename,vehicletypeid,vehicletypename
484,Acura,2,Passenger Car
582,Audi,2,Passenger Car
354,BMW,2,Passenger Car
468,Buick,2,Passenger Car
240,Cadillac,2,Passenger Car
126,Chevrolet,2,Passenger Car
476,Dodge,2,Passenger Car
492,Fiat,2,Passenger Car
460,Ford,2,Passenger Car
428,Genesis,2,Passenger Car
641,GMC,2,Passenger Car
474,Honda,2,Passenger Car
498,Hyundai,2,Passenger Car
480,Infiniti,2,Passenger Car
442,Jaguar,2,Passenger Car
404,Jeep,2,Passenger Car
499,Kia,2,Passenger Car
515,Lexus,2,Passenger Car
464,Lincoln,2,Passenger Car
443,Maserati,2,Passenger Car
473,Mazda,2,Passenger Car
449,Mercedes-Benz,2,Passenger Car
481,Mitsubishi,2,Passenger Car
478,Nissan,2,Passenger Car
475,Porsche,2,Passenger Car
523,Subaru,2,Passenger Car
700,Tesla,2,Passenger Car
448,Toyota,2,Passenger Car
482,Volkswagen,2,Passenger Car
485,Volvo,2,Passenger Car
